Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16.0,2007,7.0,1.0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,2.0,1.0,12.0,0.00,0.00,0.00,0.00,0.0,0.36,0.00,0.36,0.36,0.36,
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham,19.0,2004,16.0,9.0,850.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,1.0,2.6,45.0,27.0,66.0,0.11,0.00,0.11,0.11,0.11,0.17,0.10,0.27,0.17,0.27,20.0
395,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27.0,1997,5.0,3.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.00,0.00,0.00,0.00,0.0,0.00,0.03,0.03,0.00,0.03,
396,Caleb Okoli,it ITA,DF,Leicester City,23.0,2001,19.0,12.0,1.125,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,3.0,32.0,2.0,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,
397,Robin Olsen,se SWE,GK,Aston Villa,34.0,1990,4.0,1.0,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
398,Amadou Onana,be BEL,MF,Aston Villa,22.0,2001,26.0,20.0,1.617,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,2.1,0.7,2.8,29.0,75.0,16.0,0.17,0.00,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,50.0
399,André Onana,cm CMR,GK,Manchester Utd,28.0,1996,34.0,34.0,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,25.0
400,Paul Onuachu,ng NGA,FW,Southampton,30.0,1994,25.0,11.0,1.05,11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.5,4.1,7.0,13.0,40.0,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
401,Frank Onyeka,ng NGA,MF,Brentford,26.0,1998,2.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
402,Lewis Orford,eng ENG,MF,West Ham,18.0,2006,2.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00,0.00,0.00,0.00,0.0,0.05,0.04,0.09,0.05,0.09,
